method_display,display_method,method_family,cohort,metric,point_percent,ci_low_percent,ci_high_percent,point_role
CDA,CDA,Representative non-LLM anchors,ADReSS validation,auroc,92.5,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Lu,auroc,88.64197530864197,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Pitt,auroc,80.97529921059332,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,External-cohort average,auroc,79.6562600797895,72.61128743079725,85.73622603250053,external_cohort_bootstrap_ci
ICL Direct,ICL Direct,LLM generation strategies,ADReSS validation,auroc,93.13888888888889,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Lu,auroc,78.48888888888888,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Pitt,auroc,80.82363127069009,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,External-cohort average,auroc,81.09612841769705,74.47609790717632,86.8225344952796,external_cohort_bootstrap_ci
ICL Rewrite,ICL Rewrite,LLM generation strategies,ADReSS validation,auroc,90.14583333333331,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Lu,auroc,81.20493827160495,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Pitt,auroc,80.98731856378916,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,External-cohort average,auroc,81.80272566939234,75.1291090645012,87.47029605108037,external_cohort_bootstrap_ci
ICL Imitation,ICL Imitation,LLM generation strategies,ADReSS validation,auroc,92.13888888888889,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Lu,auroc,82.5283950617284,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Pitt,auroc,81.07705627705627,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,External-cohort average,auroc,82.07552084806986,74.04023022003413,88.76858694319478,external_cohort_bootstrap_ci
Vanilla,Vanilla,LLM generation strategies,ADReSS validation,auroc,94.99305555555556,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Lu,auroc,81.90617283950617,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Pitt,auroc,82.24486885663357,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,External-cohort average,auroc,82.09203331164116,74.20681209857682,88.82377080798648,external_cohort_bootstrap_ci
Hard Filter,Hard Filter,Proxy-guided preference and selection,ADReSS validation,auroc,93.63888888888889,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Lu,auroc,82.64691358024692,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Pitt,auroc,81.53715304303539,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,External-cohort average,auroc,82.72147054107839,74.58185378528516,89.50215191126955,external_cohort_bootstrap_ci
CoDiPO,CoDiPO,Proxy-guided preference and selection,ADReSS validation,auroc,95.74305555555556,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Lu,auroc,83.18024691358025,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Pitt,auroc,82.26269416857652,,,cohort_mean
BERT,BERT,No augmentation reference,External-cohort average,auprc,85.4441382754684,79.48723960881883,91.14947869040478,external_cohort_bootstrap_ci
BERT,BERT,No augmentation reference,ADReSS validation,auprc,92.33331054786088,,,cohort_mean
BERT,BERT,No augmentation reference,Lu,auprc,85.79358403686891,,,cohort_mean
BERT,BERT,No augmentation reference,Pitt,auprc,85.09469251406792,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,External-cohort average,auprc,86.50053856115545,82.22037387944246,90.42772094662716,external_cohort_bootstrap_ci
EDA,EDA,Representative non-LLM anchors,ADReSS validation,auprc,91.55886115314404,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Lu,auprc,90.62293789264471,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Pitt,auprc,82.37813922966616,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,External-cohort average,auprc,88.89619876874495,84.94207930613435,92.73331440452915,external_cohort_bootstrap_ci
CDA,CDA,Representative non-LLM anchors,ADReSS validation,auprc,93.79041581530956,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Lu,auprc,92.00521487735588,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Pitt,auprc,85.787182660134,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,External-cohort average,auprc,86.52801258917634,81.9353517858872,90.99141188610098,external_cohort_bootstrap_ci
ICL Direct,ICL Direct,LLM generation strategies,ADReSS validation,auprc,93.55146828658778,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Lu,auprc,86.07813256498835,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Pitt,auprc,86.9778926133643,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,External-cohort average,auprc,87.57778978986688,83.25849258921565,91.62257936113804,external_cohort_bootstrap_ci
ICL Rewrite,ICL Rewrite,LLM generation strategies,ADReSS validation,auprc,90.7671511320687,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Lu,auprc,87.86842262094024,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Pitt,auprc,87.28715695879356,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,External-cohort average,auprc,87.64870003459795,83.41637965520954,91.80890541425448,external_cohort_bootstrap_ci
ICL Imitation,ICL Imitation,LLM generation strategies,ADReSS validation,auprc,92.50531592087154,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Lu,auprc,88.46114690350588,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Pitt,auprc,86.83625316569004,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,External-cohort average,auprc,86.14741078260379,80.55430903456092,92.6694990971156,external_cohort_bootstrap_ci
Vanilla,Vanilla,LLM generation strategies,ADReSS validation,auprc,95.96413616358456,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Lu,auprc,83.98455640966628,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Pitt,auprc,88.31026515554129,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,External-cohort average,auprc,86.08571997801941,80.67777422105692,92.45447561922612,external_cohort_bootstrap_ci
Hard Filter,Hard Filter,Proxy-guided preference and selection,ADReSS validation,auprc,95.04953980035602,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Lu,auprc,84.65947382919677,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Pitt,auprc,87.51196612684208,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,External-cohort average,auprc,86.38909842786327,80.68693672727039,93.12426349829197,external_cohort_bootstrap_ci
CoDiPO,CoDiPO,Proxy-guided preference and selection,ADReSS validation,auprc,96.87139753707156,,,cohort_mean
