method,method_display,run_idx,aug_seed,random_seed,num_aug_from_file,k_inferred,align_label_acc,n_samples,n_sources,yz_pass_rate,x_pass_rate,joint_pass_rate,yz_fail_rate,x_fail_rate,risk_direction_violation_rate,y_bad_rate,z_bad_rate,y_bad_low_rate,y_bad_high_rate,z_bad_low_rate,z_bad_high_rate,yz_violation_mean,yz_violation_median,x_violation_mean,x_violation_median,residual_cos_mean,residual_cos_median,origin_cos_mean,origin_cos_median,delta_y_mean,delta_y_median,delta_z_mean,delta_z_median,yz_utilization_mean,yz_utilization_median
Cosine as X,Cosine sim. as X,4.0,9341,9341,2,2,1.0,216,108,0.1574074074074074,0.5046296296296297,0.0694444444444444,0.8425925925925926,0.4953703703703703,,0.5185185185185185,0.6574074074074074,0.287037037037037,0.2314814814814814,0.2268518518518518,0.4305555555555556,1.925389213436901,1.248302531588651,0.4901926527495884,0.0,0.1740714105002632,0.1516860379389886,0.9079909939468692,0.9114764490909366,-0.0306186868686868,-0.0340909090909091,0.0013934133414834,0.0014998773112893,0.7865229282965812,0.8605313702440371
Cosine-only Preference,Cosine-only,3.0,1672,1672,2,2,1.0,216,108,0.1712962962962963,0.4398148148148148,0.0555555555555555,0.8287037037037037,0.5601851851851852,,0.5277777777777778,0.6759259259259259,0.2638888888888889,0.2638888888888889,0.1574074074074074,0.5185185185185185,2.1610062352039017,1.4087796837048174,0.6315199706585688,0.1451939761601516,0.1964639265621754,0.1687343989875152,0.9141836580642329,0.9195161005197636,-0.0045244107744107,0.0,0.0033871920831087,0.0028763036243616,0.7869550248729493,0.8613343354338903
Cosine-only Preference,Cosine-only,4.0,5974,5974,2,2,1.0,216,108,0.162037037037037,0.4629629629629629,0.0601851851851851,0.8379629629629629,0.5370370370370371,,0.5555555555555556,0.6666666666666666,0.2638888888888889,0.2916666666666667,0.1435185185185185,0.5231481481481481,2.241777499099408,1.5838077018251564,0.6035599180591288,0.0551101135678562,0.1857054901671585,0.1659617526832906,0.9128279521134576,0.917458878687725,-0.0019991582491582,0.0,0.0033556587080022,0.0031006596982478,0.789191518123107,0.859728405054184
Cosine-only Preference,Cosine-only,2.0,4979,4979,2,2,1.0,216,108,0.125,0.4444444444444444,0.0601851851851851,0.875,0.5555555555555556,,0.5138888888888888,0.7037037037037037,0.2407407407407407,0.2731481481481481,0.1712962962962963,0.5324074074074074,2.1634524727279536,1.631032986684425,0.621069754512381,0.2097861649757508,0.1944005361616987,0.1824561844178265,0.915273646152,0.9168018006897204,0.0037878787878787,0.0227272727272727,0.0035278394654462,0.0031084162183105,0.8068990094239984,0.8605313702440371
Cosine-only Preference,Cosine-only,1.0,1291,1291,2,2,1.0,216,108,0.1388888888888889,0.4444444444444444,0.0462962962962962,0.8611111111111112,0.5555555555555556,,0.4907407407407407,0.7592592592592593,0.2314814814814814,0.2592592592592592,0.1759259259259259,0.5833333333333334,2.2001318699632813,1.6794774668093764,0.5813776694355931,0.1791636870731133,0.1879112516433866,0.1826572622051748,0.913428250119722,0.9168037196838896,0.0049452861952861,-0.0227272727272727,0.003463036865772,0.0033761747181415,0.8116347886170788,0.8605313702440371
Cosine-only Preference,Cosine-only,5.0,4692,4692,2,2,1.0,216,108,0.2083333333333333,0.4398148148148148,0.0833333333333333,0.7916666666666666,0.5601851851851852,,0.5046296296296297,0.5833333333333334,0.2129629629629629,0.2916666666666667,0.0972222222222222,0.4861111111111111,1.7513939451308242,1.0786358531993447,0.5935601396866401,0.1891860547349992,0.187077472340922,0.1846299249787391,0.9120998580605304,0.9182237082965836,0.018834175084175,0.0454545454545454,0.0031199837814912,0.0026385588571428,0.7738895791815084,0.8148451410336803
Vanilla Generation w/o DPO,Vanilla Generation w/o DPO,4.0,6055,6055,2,2,1.0,216,108,0.1435185185185185,0.4166666666666667,0.0462962962962962,0.8564814814814815,0.5833333333333334,,0.5509259259259259,0.7037037037037037,0.287037037037037,0.2638888888888889,0.1851851851851851,0.5185185185185185,2.0856779292525,1.4652160372604874,0.5744614871360719,0.1447789772314424,0.1915388282255991,0.1675688438922991,0.9133171491349644,0.918395733645833,-0.0160984848484848,-0.0227272727272727,0.002719019703498,0.0031029414385556,0.8013292422852483,0.8613343354338906
Vanilla Generation w/o DPO,Vanilla Generation w/o DPO,1.0,5776,5776,2,2,1.0,216,108,0.1712962962962963,0.4259259259259259,0.0555555555555555,0.8287037037037037,0.5740740740740741,,0.5092592592592593,0.6064814814814815,0.2638888888888889,0.2453703703703703,0.1064814814814814,0.5,1.9302178527036151,1.294421036528759,0.6231914508775118,0.2062917379778977,0.1951478592028132,0.1814643700037291,0.9137786748209988,0.9191906089252474,-0.0111531986531986,0.0,0.003107258668428,0.0027842689305544,0.7611995613702215,0.7870827833275109
Vanilla Generation w/o DPO,Vanilla Generation w/o DPO,3.0,5380,5380,2,2,1.0,216,108,0.1666666666666666,0.449074074074074,0.0694444444444444,0.8333333333333334,0.5509259259259259,,0.5555555555555556,0.625,0.2962962962962963,0.2592592592592592,0.1712962962962963,0.4537037037037037,2.2283692747044634,1.3603620888429668,0.5925920133724747,0.1900141627366156,0.1833936844469308,0.17595210174877,0.9105989801778124,0.9139495890070568,-0.0055765993265993,0.0,0.0025517795303905,0.0019353395327924,0.8114301313866593,0.8737874155811693
Vanilla Generation w/o DPO,Vanilla Generation w/o DPO,2.0,4680,4680,2,2,1.0,216,108,0.1759259259259259,0.4351851851851852,0.0925925925925925,0.8240740740740741,0.5648148148148148,,0.5092592592592593,0.6481481481481481,0.2777777777777778,0.2314814814814814,0.1851851851851851,0.4629629629629629,2.1071469874916406,1.5921003800337306,0.6584297219092976,0.1782490390877397,0.1919153631397979,0.1776887045753715,0.9129351245368176,0.9163333069812178,-0.0117845117845117,-0.0113636363636363,0.0024894220707075,0.002074914984405,0.7861615879590202,0.8560142465082636
Vanilla Generation w/o DPO,Vanilla Generation w/o DPO,0.0,2024,2024,2,2,1.0,216,108,0.1944444444444444,0.4166666666666667,0.0555555555555555,0.8055555555555556,0.5833333333333334,,0.5324074074074074,0.6388888888888888,0.25,0.2824074074074074,0.1759259259259259,0.4629629629629629,2.126281339895932,1.1631882214642235,0.6488401518820827,0.2274011585054077,0.1955302226066774,0.1815709553967885,0.9120943245394806,0.9149354103437012,0.0113636363636363,0.0454545454545454,0.002561103388736,0.0022098766639829,0.7865013842031817,0.8372453797382977
